Opportunity Owner,Segment,Type,Source,Inbound Type,Current Stage (as of data pull),Base Annual Contract Value,Created Date,SQL Datestamp,SAL Datestamp,SQO Datestamp,Close Date,Funnel Stage Reached
Henry,Enterprise,Expansion,Marketing , Event,"Pricing, Negotiating, and Contracting","45,000.00",2/22/2024 0:00:00,,,,12/31/2024 0:00:00,
Andy,Mid-Market,New,AE Outbound,Outbound,Qualifying,,2/22/2024 0:00:00,2/22/2024 11:15:00,2/22/2024 11:15:00,,11/30/2024 0:00:00,2 - SAL
Andy,Mid-Market,New,SDR Outbound,Outbound,Customer Evaluating,"59,400.00",2/28/2024 0:00:00,2/28/2024 11:34:00,3/14/2024 7:31:00,"3/14/2024, 7:34 AM",10/1/2024 0:00:00,3 - SQO
Henry,Enterprise,New,Marketing , Event,Reviewing Contract,"105,300.00",11/9/2023 0:00:00,11/9/2023 11:11:00,11/9/2023 11:11:00,"1/6/2024, 12:00 PM",9/30/2024 0:00:00,3 - SQO
Andy,Mid-Market,New,SDR Outbound,Outbound,Customer Evaluating,"12,000.00",12/4/2023 0:00:00,12/4/2023 8:55:00,12/29/2023 10:22:00,"1/8/2024, 5:26 PM",9/30/2024 0:00:00,3 - SQO
Gabby,Mid-Market,New,Marketing , Website Direct,Closed Lost,,12/7/2023 0:00:00,,12/21/2023 12:37:00,,8/31/2024 0:00:00,2 - SAL
Gabby,Mid-Market,New,SDR Outbound,Outbound,Closed Lost,"72,000.00",1/19/2024 0:00:00,1/19/2024 10:11:00,1/30/2024 14:55:00,"3/6/2024, 12:07 PM",8/31/2024 0:00:00,3 - SQO
Gabby,Mid-Market,New,Marketing , Website Direct,Closed Lost,"72,000.00",2/7/2024 0:00:00,2/7/2024 14:23:00,2/13/2024 8:45:00,"2/13/2024, 8:46 AM",8/31/2024 0:00:00,3 - SQO
Gabby,Mid-Market,New,SDR Outbound,Outbound,Customer Evaluating,"24,000.00",2/26/2024 0:00:00,2/26/2024 5:57:00,3/5/2024 6:58:00,"3/13/2024, 5:58 AM",8/31/2024 0:00:00,3 - SQO
Earl,Mid-Market,New,SDR Outbound,Outbound,Customer Evaluating,"24,000.00",3/27/2024 0:00:00,3/27/2024 11:33:00,3/29/2024 15:23:00,"3/29/2024, 8:37 AM",8/31/2024 0:00:00,3 - SQO
Gabby,Mid-Market,New,SDR Outbound,Outbound,Closed Lost,"43,200.00",12/19/2023 0:00:00,12/19/2023 13:27:00,3/12/2024 12:05:00,"3/26/2024, 1:03 PM",8/30/2024 0:00:00,3 - SQO
Gabby,Mid-Market,New,Marketing , Website Direct,Closed Lost,"288,000.00",1/31/2024 0:00:00,1/31/2024 19:03:00,1/31/2024 19:03:00,"2/6/2024, 11:18 AM",8/30/2024 0:00:00,3 - SQO
Gabby,Mid-Market,New,SDR Outbound,Outbound,Customer Evaluating,"96,000.00",2/21/2024 0:00:00,2/21/2024 11:49:00,2/21/2024 11:51:00,"2/21/2024, 11:51 AM",8/30/2024 0:00:00,3 - SQO
Gabby,Mid-Market,New,Marketing , Website Direct,Customer Evaluating,"124,800.00",2/21/2024 0:00:00,2/21/2024 14:02:00,2/21/2024 14:02:00,"2/21/2024, 2:04 PM",8/30/2024 0:00:00,3 - SQO
Gabby,Mid-Market,New,AE Outbound,Outbound,Customer Evaluating,"192,000.00",2/29/2024 0:00:00,2/29/2024 10:12:00,2/29/2024 10:12:00,"3/4/2024, 2:49 PM",8/30/2024 0:00:00,3 - SQO
Gabby,Mid-Market,New,Marketing , Website Direct,Closed Lost,"48,000.00",12/4/2023 0:00:00,12/4/2023 10:30:00,12/4/2023 10:30:00,"1/23/2024, 9:49 AM",7/31/2024 0:00:00,3 - SQO
Gabby,Mid-Market,New,AE Outbound,Outbound,Qualifying,,12/14/2023 0:00:00,12/14/2023 10:45:00,12/14/2023 10:45:00,,7/31/2024 0:00:00,2 - SAL
Gabby,Mid-Market,New,Marketing , Website Direct,Closed Lost,,12/14/2023 0:00:00,12/14/2023 10:47:00,12/14/2023 10:47:00,,7/31/2024 0:00:00,2 - SAL
Gabby,Mid-Market,New,SDR Outbound,Outbound,Qualifying,,1/3/2024 0:00:00,1/3/2024 13:35:00,1/30/2024 4:03:00,,7/31/2024 0:00:00,2 - SAL
Gabby,Mid-Market,New,SDR Outbound,Outbound,Closed Lost,,1/9/2024 0:00:00,1/9/2024 12:18:00,,,7/31/2024 0:00:00,1 - SQL
Gabby,Mid-Market,New,SDR Outbound,Outbound,Closed Lost,,1/24/2024 0:00:00,1/24/2024 13:09:00,,,7/31/2024 0:00:00,1 - SQL
